station,start_date_used,end_date_used,total_porosity_mm,n_valid_raw_values,n_above_total_porosity,percent_above_total_porosity,max_raw_soil_moisture_mm
BRW,2003-02-18,2022-12-31,504.0,7026,50,0.7116424708226587,541.0
BVL,2003-02-18,2022-12-31,504.0,5231,173,3.3072070349837506,602.5
CMI,2003-02-18,2022-12-31,543.0,7145,0,0.0,428.7285
DEK,2003-02-18,2022-12-31,515.0,7143,0,0.0,473.75
DXS,2003-02-18,2022-12-31,486.0,7147,175,2.4485798237022527,541.0
FAI,2012-01-03,2022-12-31,403.5,4015,2341,58.30635118306351,4999695.715625001
FRE,2003-02-18,2022-12-31,481.5,6162,3,0.04868549172346641,493.75
FRM,2010-11-02,2022-12-31,474.0,4397,350,7.959972708664999,9999000.0
ICC,2010-09-14,2022-12-31,445.0,4492,315,7.01246660730187,2000138.3885416668
LLC,2011-11-29,2022-12-31,499.0,4051,66,1.6292273512712911,2499924.6125
MON,2003-02-18,2022-12-31,504.0,7119,3,0.04214075010535188,862.0145
OLN,2011-06-01,2022-12-31,417.0,4221,1698,40.227434257285005,4782311.752173914
ORR,2003-02-18,2022-12-31,544.0,7145,0,0.0,428.7285
RND,2012-02-13,2022-12-31,467.0,3975,616,15.49685534591195,1666759.7312500002
SIU,2003-02-18,2022-12-31,491.0,7221,16,0.2215759590084476,504.2654999999999
STC,2010-07-13,2022-12-31,448.0,4553,3,0.06589062156819679,416876.209375
STE,2011-10-31,2022-12-31,435.0,4080,162,3.9705882352941178,541979.5885416666
ALL_STATIONS,,2022-12-31,,95123,5971,6.277135918757819,
